#,	Holiday Name,	Date,	Day
1,	New Year,	1st January 2026,	Thursday
2,	Republic Day,	26th January 2026,	Monday
3,	Mahashivratri,	15th February 2026,	Sunday
4,	Holi,	4th March 2026,	Wednesday
5,	Independence Day,	15th August 2026,	Saturday
6,	Rakshabandhan,	28th August 2026,	Thursday
7,	Janmashtami,	4th September 2026,	Friday
8,	Gandhi Jayanti,	2nd October 2026,	Friday
9,	Dussehra (Vijayadashami),	20th October 2026,	Tuesday
10,	Diwali,	8th November 2026 - 11th November 2026,	Sunday - Wednesday
11,	Govardhan Puja,	8th November 2026 - 11th November 2026,	Sunday - Wednesday
12,	Bhai Dooj,	8th November 2026 - 11th November 2026,	Sunday - Wednesday
13,	Christmas Day,	25th December 2026,	Friday
